#options: 320x240 fps=25000/1001 timebase=1001/25000 bitdepth=8 cabac=0 ref=4 deblock=1:0:0 analyse=0x1:0x131 me=hex subme=6 psy=1 psy_rd=1.00:0.00 mixed_ref=1 me_range=16 chroma_me=1 trellis=1 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=-2 threads=6 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=30 rc=abr mbtree=1 bitrate=211 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:36.46 aq:29.25 tex:48250 mv:9670 misc:5504 imb:300 pmb:0 smb:0 d:- ref:;
in:1 out:1 type:P dur:2 cpbdur:2 q:36.46 aq:29.20 tex:733 mv:354 misc:289 imb:0 pmb:58 smb:242 d:- ref:232 ;
in:2 out:2 type:P dur:2 cpbdur:2 q:36.46 aq:28.94 tex:716 mv:379 misc:305 imb:2 pmb:58 smb:240 d:- ref:200 32 ;
in:3 out:3 type:P dur:2 cpbdur:2 q:36.46 aq:29.62 tex:889 mv:304 misc:295 imb:0 pmb:50 smb:250 d:- ref:176 4 20 ;
in:4 out:4 type:P dur:2 cpbdur:2 q:36.46 aq:31.47 tex:394 mv:241 misc:221 imb:0 pmb:26 smb:274 d:- ref:96 4 4 0 ;
in:5 out:5 type:P dur:2 cpbdur:2 q:36.46 aq:30.89 tex:398 mv:330 misc:232 imb:0 pmb:37 smb:263 d:- ref:122 4 10 12 ;
in:6 out:6 type:P dur:2 cpbdur:2 q:44.46 aq:36.00 tex:9 mv:72 misc:167 imb:0 pmb:9 smb:291 d:- ref:36 0 0 0 ;
in:7 out:7 type:P dur:2 cpbdur:2 q:46.58 aq:39.00 tex:8 mv:65 misc:143 imb:0 pmb:8 smb:292 d:- ref:24 4 4 0 ;
in:8 out:8 type:P dur:2 cpbdur:2 q:44.12 aq:36.00 tex:12 mv:94 misc:166 imb:0 pmb:12 smb:288 d:- ref:48 0 0 0 ;
in:9 out:9 type:P dur:2 cpbdur:2 q:42.23 aq:34.00 tex:17 mv:153 misc:190 imb:0 pmb:17 smb:283 d:- ref:60 8 0 0 ;
in:10 out:10 type:P dur:2 cpbdur:2 q:40.60 aq:31.38 tex:90 mv:142 misc:184 imb:1 pmb:18 smb:281 d:- ref:60 12 0 0 ;
in:11 out:11 type:P dur:2 cpbdur:2 q:39.23 aq:31.69 tex:345 mv:225 misc:222 imb:0 pmb:26 smb:274 d:- ref:96 0 4 4 ;
in:12 out:12 type:P dur:2 cpbdur:2 q:37.98 aq:31.07 tex:718 mv:186 misc:248 imb:0 pmb:31 smb:269 d:- ref:108 12 0 4 ;
in:13 out:13 type:P dur:2 cpbdur:2 q:36.87 aq:30.01 tex:1565 mv:321 misc:290 imb:1 pmb:51 smb:248 d:- ref:196 0 8 0 ;
